,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
2774,57.4705683281569,25.6472592674977,,1.6353784107819336e+18,6.698035857852186e+16,20121203.0,9.38767334869376,10.152,0.038,99.999,9.999,7.16796313323157,0.3811216361506838,0.15
2825,56.0641201570524,26.3310333644354,,1.6353784107819336e+18,7.025267698201677e+16,20121325.0,10.7976428411794,11.767,0.094,11.082,0.024,7.41063297420714,0.3766665079653224,0.15
2832,56.2842877935973,26.2923245282426,17525.0,1.6353784107819336e+18,7.02427813773687e+16,20121325.0,11.182610006721,12.28,0.086,11.52,0.062,7.5823695228041,0.5669887097709916,0.15
2858,56.3126122695703,26.8912626336247,,1.6353784107819336e+18,7.034702882307469e+16,20121325.0,8.53588121252165,99.999,9.999,99.999,9.999,7.13643644475637,0.7480069429577109,0.15
2906,57.5888866182819,27.1441827044869,,1.6353784107819336e+18,7.050687032605466e+16,20121325.0,11.0882868440827,12.253,0.036,11.4,0.025,8.24883251854558,0.3833000090269526,0.15
2978,59.1092500687475,23.7841281329542,,1.6353784107819336e+18,6.57541282361001e+16,20121204.0,11.0486344546731,12.147,0.024,11.317,0.036,6.63558241766096,0.3864895598634353,0.15
2991,58.3488657043183,24.0648492826093,,1.6353784107819336e+18,6.657054997900928e+16,20121204.0,11.1496599974702,12.176,0.014,11.358,0.023,7.33304384939944,0.42205476897921484,0.15
2993,58.5900341253629,24.075501073437,,1.6353784107819336e+18,6.58199614947904e+16,20121204.0,9.55426257036326,10.239,0.003,99.999,9.999,7.71004860508213,0.3988453830727286,0.15
2996,58.6052486246039,24.3598965677966,18263.0,1.6353784107819336e+18,6.658195741216973e+16,20121204.0,10.757800849005,11.753,0.046,11.0,0.073,7.45456482823102,0.3892472209265424,0.15
3881,54.035339956275,27.3427772367143,,1.6353784107819336e+18,7.129666327220032e+16,20121324.0,9.16758529446523,9.959,0.124,9.319,-0.0,8.07192740315508,0.389976742611212,0.15
3952,55.012940589514,27.7403288913926,17125.0,1.6353784107819336e+18,7.137125826447142e+16,20151324.0,9.46758951638416,10.095,0.017,99.999,9.999,7.12791229107101,0.39478166973388373,0.15
4175,56.3648452785923,28.6684977394453,17547.0,1.6353784107819336e+18,7.172952725688922e+16,20121443.0,7.40539675235505,7.64,0.006,7.429,0.034,8.4442997476978,0.5903811724770013,0.15
